username,user id,access hash,name,group,group id
GorpoOrko,522510051,1350435428782612517,Gorpo Orko,manicomio testes,1367782383
vladtcxs,583632266,1633749562450459879,Vladmir,manicomio testes,1367782383
gutosp,651675958,-5339005644992997590,Guto Tcxs,manicomio testes,1367782383
Spexs,1023551462,-2065251159106617828,Spexs,manicomio testes,1367782383
MsT3Dz,628238139,-2304743655002007193,MsT3Dz,manicomio testes,1367782383
aleistercrowley_bot,1186597860,4905648528947168791,Manicomio,manicomio testes,1367782383
marcinhohacker_bot,1096480409,9205163624313630724,Marcinho,manicomio testes,1367782383
,628578091,-2743554881356187383,BRWar,manicomio testes,1367782383
